%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1490055005797701382,-32.7140812304,-25.9055465712,1.98975896835,-0.00303136424446,0.000189939979583,-0.720476078142,-0.693473139767
1490055005897690434,-32.7140812304,-25.9055465712,1.98975896835,-0.00303136424446,0.000189939979583,-0.720476078142,-0.693473139767
1490055005997679793,-32.7132293161,-25.9050329505,1.98984563351,-0.00266403359991,0.000410210105506,-0.720492809692,-0.69345716943
1490055006097754282,-32.7132293161,-25.9050329505,1.98984563351,-0.00266403359991,0.000410210105506,-0.720492809692,-0.69345716943
1490055006197706071,-32.7130301435,-25.904741115,1.98992109299,-0.00198495295072,0.000260332791835,-0.720505016434,-0.693446835368
1490055006297726286,-32.7130301435,-25.904741115,1.98992109299,-0.00198495295072,0.000260332791835,-0.720505016434,-0.693446835368
1490055006397719160,-32.7130301435,-25.904741115,1.98992109299,-0.00198495295072,0.000260332791835,-0.720505016434,-0.693446835368
1490055006497701258,-32.7128537771,-25.9042663155,1.99018907547,-0.00173593247628,-0.000195309065899,-0.720511109977,-0.693441193464
1490055006597729110,-32.7128537771,-25.9042663155,1.99018907547,-0.00173593247628,-0.000195309065899,-0.720511109977,-0.693441193464
1490055006697627264,-32.7117493104,-25.9041190995,1.990639925,-0.00218552242628,-0.000330285168479,-0.720505135147,-0.693446079108
1490055006797702212,-32.7117493104,-25.9041190995,1.990639925,-0.00218552242628,-0.000330285168479,-0.720505135147,-0.693446079108
1490055006897644290,-32.7117493104,-25.9041190995,1.990639925,-0.00218552242628,-0.000330285168479,-0.720505135147,-0.693446079108
1490055006997692965,-32.7094839838,-25.904029849,1.99138998985,-0.00244620345582,-0.000350140688073,-0.720486900098,-0.693464144911
1490055007097738506,-32.7094839838,-25.904029849,1.99138998985,-0.00244620345582,-0.000350140688073,-0.720486900098,-0.693464144911
1490055007197723785,-32.7093210507,-25.9017250343,1.991284132,-0.0022558004397,-0.000275422858208,-0.720464858874,-0.693487723492
1490055007297562447,-32.7093210507,-25.9017250343,1.991284132,-0.0022558004397,-0.000275422858208,-0.720464858874,-0.693487723492
1490055007397723010,-32.7089247748,-25.8989056042,1.99108314514,-0.00211937240963,-4.39731935869e-05,-0.720448748292,-0.693504944042
