%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1489621327383266160,52,1489621327383164333,fcu,-0.0315317511559,0.0236527677625,2.00157618523,-0.00360210359095,0.000434637076479,-0.70606852605,-0.708134219243
1489621327615915135,53,1489621327615815994,fcu,-0.0320635251701,0.0253074150532,2.00128006935,-0.00345126797688,0.000368142564048,-0.7060564796,-0.708147019224
1489621327847370714,54,1489621327847278643,fcu,-0.0331335179508,0.027776658535,2.00128793716,-0.00336220981179,0.000319129152245,-0.706060988439,-0.708142975893
1489621328082123099,55,1489621328082018276,fcu,-0.0338063128293,0.0299503318965,2.00140452385,-0.00316821862585,0.000326871971426,-0.706064804769,-0.708140061719
1489621328316513175,56,1489621328316423126,fcu,-0.0347973778844,0.0311267673969,2.00136399269,-0.00309541203962,0.000367332055138,-0.706078511051,-0.708126697507
1489621328582465308,57,1489621328582362183,fcu,-0.0348882190883,0.0312245413661,2.00124764442,-0.00332495975128,0.000322392459425,-0.706078281926,-0.708125907235
1489621328814729180,58,1489621328814635483,fcu,-0.0353659205139,0.0323975421488,2.00115442276,-0.0033794079993,0.000106717064112,-0.70607848098,-0.708125516353
1489621329049198257,59,1489621329049113739,fcu,-0.0375602915883,0.0349580831826,2.00109052658,-0.00323070073992,0.00011582404864,-0.706082073868,-0.708122626471
1489621329283225616,60,1489621329283134343,fcu,-0.0397352091968,0.0367427617311,2.00112080574,-0.00336225150092,0.00016850503823,-0.706083972952,-0.708120109876
1489621329516377503,61,1489621329516285436,fcu,-0.0400623567402,0.0364916622639,2.00122141838,-0.00423564652722,2.61873943942e-05,-0.706073168919,-0.708126216677
1489621329781004544,62,1489621329780917263,fcu,-0.0405452027917,0.037709902972,2.00143432617,-0.00301611634894,-9.49305359724e-05,-0.706071435336,-0.708134183777
1489621330015447998,63,1489621330015367546,fcu,-0.0513326823711,0.0493268333375,2.00151562691,0.00839127258396,-0.000821733967242,-0.70606603045,-0.708095807037
1489621330249914122,64,1489621330249800043,fcu,-0.0823431015015,0.0827320814133,2.00124025345,0.0258113450098,-0.00119010543824,-0.705933111715,-0.707807035781
1489621330483599057,65,1489621330483518133,fcu,-0.144488483667,0.148136883974,2.0004658699,0.0441973440335,-0.00151083356296,-0.705740116202,-0.707089245107
1489621330715044976,66,1489621330714949305,fcu,-0.253092616796,0.259866625071,1.99927330017,0.0703634051028,-0.00099975491896,-0.70527894113,-0.705428668904
1489621330981472387,67,1489621330981357158,fcu,-0.416329711676,0.431068390608,1.99818778038,0.0961009079704,-0.00510453838354,-0.704924899066,-0.702722879841
1489621331215563195,68,1489621331215461239,fcu,-0.62130856514,0.654283106327,1.99781298637,0.0923619722844,-0.0103013238513,-0.706193712725,-0.701892861419
1489621331450815656,69,1489621331450743792,fcu,-0.836800038815,0.901694536209,1.99836504459,0.0587469694736,-0.0140960057668,-0.707628744985,-0.70399691439
1489621331683139129,70,1489621331683053630,fcu,-1.04066610336,1.14416444302,1.99924004078,0.0312315662836,-0.00981684669485,-0.70732045311,-0.706134544829
1489621331948915230,71,1489621331948831026,fcu,-1.22472000122,1.36842870712,1.99976468086,0.0135182274029,-0.00622642989432,-0.706125624574,-0.707930145861
1489621332181697137,72,1489621332181607120,fcu,-1.39283037186,1.57501482964,1.99940502644,0.0170009029019,-0.0047019615477,-0.705228873115,-0.708760253812
1489621332416400201,73,1489621332416320819,fcu,-1.55794894695,1.77548420429,1.99806332588,0.0258687413471,-0.00259346324865,-0.705063950462,-0.708666993678
1489621332650040771,74,1489621332649940950,fcu,-1.72743046284,1.97585904598,1.99764895439,0.0347024075407,-0.000353865653933,-0.705398906449,-0.707960451205
1489621332882593829,75,1489621332882488728,fcu,-1.90380883217,2.17600512505,1.99769020081,0.0379463656026,0.000581454778899,-0.70596144255,-0.707232760045
1489621333147443253,76,1489621333147368194,fcu,-2.0876865387,2.37066102028,1.99764609337,0.0363520838259,0.00645327580772,-0.706481544478,-0.706767789691
1489621333381456412,77,1489621333381354863,fcu,-2.26739668846,2.56126666069,1.9973500967,0.0288193896816,-0.00269980593596,-0.706433584711,-0.707187205921
1489621333617481204,78,1489621333617378253,fcu,-2.43217587471,2.75520992279,1.99725246429,0.0238881491411,-0.0149077277758,-0.706036000278,-0.707615914388
1489621333849959673,79,1489621333849859289,fcu,-2.57836866379,2.95592498779,1.99717772007,0.0227085489382,-0.0196303600955,-0.705752957796,-0.707821823152
1489621334083211616,80,1489621334083134902,fcu,-2.71028637886,3.16663527489,1.99735116959,0.0272149305131,-0.0228652731219,-0.705591153428,-0.7077271021
1489621334347794049,81,1489621334347700194,fcu,-2.8380279541,3.38339066505,1.99754571915,0.0319550434195,-0.0148148516401,-0.705859178607,-0.707475946833
1489621334582255201,82,1489621334582132867,fcu,-2.96532464027,3.59850859642,1.99783289433,0.0291181603578,-0.00741877164778,-0.706101147919,-0.707473153888
1489621334816447357,83,1489621334816359182,fcu,-3.09160995483,3.80757164955,1.99825358391,0.023652005536,-0.0060383078998,-0.706125910035,-0.70766540162
1489621335050750949,84,1489621335050668920,fcu,-3.2151196003,4.01050329208,1.99828493595,0.0225032911615,-0.00644538198934,-0.706044535477,-0.707780455269
1489621335282189871,85,1489621335282110310,fcu,-3.3331091404,4.20952749252,1.99842584133,0.0225301701778,-0.00975654139681,-0.705938121452,-0.707847843829
