%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1490053455567414462,-5.63759641963,-43.3284120901,2.0004928112,-0.000605866364259,0.000123580512855,-0.701864415089,-0.712310297894
1490053455667044957,-5.63759641963,-43.3284120901,2.0004928112,-0.000605866364259,0.000123580512855,-0.701864415089,-0.712310297894
1490053455767100460,-5.63759641963,-43.3284120901,2.0004928112,-0.000605866364259,0.000123580512855,-0.701864415089,-0.712310297894
1490053455867097776,-5.63961361962,-43.3282976455,2.00045514107,-0.00052076182224,0.000140172523842,-0.701872715422,-0.71230218342
1490053455967089445,-5.63961361962,-43.3282976455,2.00045514107,-0.00052076182224,0.000140172523842,-0.701872715422,-0.71230218342
1490053456067088880,-5.64163471254,-43.3275577022,2.00023293495,-0.000890763768955,-0.000103897812777,-0.70188125768,-0.712293405741
1490053456167048902,-5.64163471254,-43.3275577022,2.00023293495,-0.000890763768955,-0.000103897812777,-0.70188125768,-0.712293405741
1490053456267054154,-5.64198101553,-43.3272019892,2.00017476082,-0.00128817662419,-0.000310995528079,-0.701881324213,-0.712292672013
1490053456367102160,-5.64198101553,-43.3272019892,2.00017476082,-0.00128817662419,-0.000310995528079,-0.701881324213,-0.712292672013
1490053456467086878,-5.64198101553,-43.3272019892,2.00017476082,-0.00128817662419,-0.000310995528079,-0.701881324213,-0.712292672013
1490053456567094067,-5.64248593765,-43.3278989835,2.00053977966,-0.0013107916418,-0.000173912998704,-0.701886071662,-0.712287999328
1490053456667097282,-5.64248593765,-43.3278989835,2.00053977966,-0.0013107916418,-0.000173912998704,-0.701886071662,-0.712287999328
1490053456767074972,-5.6433951618,-43.327962388,2.00098514557,-0.000979642971545,-0.000118749353362,-0.701885204349,-0.712289397727
1490053456867077205,-5.6433951618,-43.327962388,2.00098514557,-0.000979642971545,-0.000118749353362,-0.701885204349,-0.712289397727
1490053456967138296,-5.6433951618,-43.327962388,2.00098514557,-0.000979642971545,-0.000118749353362,-0.701885204349,-0.712289397727
1490053457067070808,-5.64388079996,-43.3271355859,2.00110864639,-0.00106435194859,-0.000395956076413,-0.701883056318,-0.71229129268
1490053457167096830,-5.64388079996,-43.3271355859,2.00110864639,-0.00106435194859,-0.000395956076413,-0.701883056318,-0.71229129268
1490053457267093289,-5.64405678454,-43.3269935666,2.00093770027,-0.00129977657155,-0.000285112654853,-0.701885687981,-0.71228836176
1490053457367109078,-5.64405678454,-43.3269935666,2.00093770027,-0.00129977657155,-0.000285112654853,-0.701885687981,-0.71228836176
1490053457467069420,-5.64399096611,-43.3281012593,2.00045180321,-0.00126105474981,-0.000196192493663,-0.701875495079,-0.712298505303
1490053457567131220,-5.64399096611,-43.3281012593,2.00045180321,-0.00126105474981,-0.000196192493663,-0.701875495079,-0.712298505303
1490053457667119583,-5.64399096611,-43.3281012593,2.00045180321,-0.00126105474981,-0.000196192493663,-0.701875495079,-0.712298505303
1490053457767080903,-5.64416718165,-43.3288463844,1.99996078014,-0.00087783861415,-0.000278227842918,-0.701861032693,-0.712313303804
1490053457867099182,-5.64416718165,-43.3288463844,1.99996078014,-0.00087783861415,-0.000278227842918,-0.701861032693,-0.712313303804
1490053457967080778,-5.64539314861,-43.3289963162,1.99989366531,-0.000330943183872,-0.000462062243139,-0.70186096286,-0.71231374112
1490053458067065169,-5.64539314861,-43.3289963162,1.99989366531,-0.000330943183872,-0.000462062243139,-0.70186096286,-0.71231374112
1490053458167098281,-5.64539314861,-43.3289963162,1.99989366531,-0.000330943183872,-0.000462062243139,-0.70186096286,-0.71231374112
1490053458267109786,-5.65106045882,-43.32213568,2.00029015541,0.00542679485344,-0.000657531143577,-0.701864160795,-0.712289840824
1490053458367129918,-5.65106045882,-43.32213568,2.00029015541,0.00542679485344,-0.000657531143577,-0.701864160795,-0.712289840824
1490053458467111810,-5.66819235691,-43.2999277251,2.00010728836,0.0193683069279,-0.00193566051114,-0.701784713335,-0.712123119997
1490053458567051995,-5.66819235691,-43.2999277251,2.00010728836,0.0193683069279,-0.00193566051114,-0.701784713335,-0.712123119997
1490053458667114398,-5.70774273815,-43.2506566482,1.99998116493,0.0372937506773,-0.00263719501107,-0.701606559387,-0.711583064152
1490053458767082828,-5.70774273815,-43.2506566482,1.99998116493,0.0372937506773,-0.00263719501107,-0.701606559387,-0.711583064152
1490053458867090624,-5.70774273815,-43.2506566482,1.99998116493,0.0372937506773,-0.00263719501107,-0.701606559387,-0.711583064152
1490053458967103063,-5.7786567049,-43.1640604256,1.99983382225,0.0546148755793,-0.00571409349408,-0.70140776779,-0.710641757698
1490053459067092674,-5.7786567049,-43.1640604256,1.99983382225,0.0546148755793,-0.00571409349408,-0.70140776779,-0.710641757698
1490053459167090771,-5.88755535203,-43.0374994172,1.99986732006,0.0670858286584,-0.00470322685265,-0.701629285521,-0.709361485386
1490053459267052391,-5.88755535203,-43.0374994172,1.99986732006,0.0670858286584,-0.00470322685265,-0.701629285521,-0.709361485386
