%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1489621327253946790,51,1489621327253799363,fcu,-0.0373058579862,0.027317347005,1.99814641476,-0.00322741644942,-0.000599131190885,-0.709087947513,-0.705112407717
1489621327488351885,52,1489621327488258239,fcu,-0.0390446595848,0.0289905779064,1.99818563461,-0.00313543636518,-0.000655422622131,-0.709091423013,-0.705109277537
1489621327722261742,53,1489621327722176080,fcu,-0.0399232283235,0.03122702986,1.99857258797,-0.00293206969389,-0.00052808962937,-0.709102708389,-0.705098910114
1489621327987752177,54,1489621327987641337,fcu,-0.0401760488749,0.0325322151184,1.99917972088,-0.00329090677584,-0.000173655620232,-0.709107680591,-0.705092502515
1489621328221628093,55,1489621328221539255,fcu,-0.0395753569901,0.0327294319868,1.99948215485,-0.00357939109127,-2.32625730286e-05,-0.709116278352,-0.705082471201
1489621328454908575,56,1489621328454796149,fcu,-0.0405508764088,0.0344306007028,1.99908971786,-0.00335841406526,-0.000135814494165,-0.709112385138,-0.705087461138
1489621328687812630,57,1489621328687724189,fcu,-0.0421251989901,0.0373776108027,1.99952733517,-0.00330865421513,-0.000224965603737,-0.70911742446,-0.705082605462
1489621328921989010,58,1489621328921789779,fcu,-0.0424931496382,0.0397639945149,2.00014591217,-0.00349822671664,-0.000115545576945,-0.7091233331,-0.705075774305
1489621329187701676,59,1489621329187596099,fcu,-0.0424812436104,0.0409771353006,2.0003285408,-0.00346787780321,4.02016523469e-05,-0.709119607047,-0.705079679971
1489621329420887618,60,1489621329420801698,fcu,-0.0422551967204,0.0403655320406,2.00009322166,-0.00349715897671,5.71581920601e-05,-0.709113908217,-0.705085265614
1489621329654985796,61,1489621329654871167,fcu,-0.0413141921163,0.0402238219976,2.00011229515,-0.00380464492395,-0.000477492650599,-0.709102645494,-0.705094841019
1489621329888590970,62,1489621329888477535,fcu,-0.0301731526852,0.0381276644766,2.00018715858,-0.0124001461492,-0.005040587472,-0.709050412927,-0.705030737473
1489621330121651842,63,1489621330121541340,fcu,0.00770506123081,0.0281839389354,2.00040698051,-0.0286748842985,-0.0133014653014,-0.708839116527,-0.704661570481
1489621330386953722,64,1489621330386842884,fcu,0.0888367369771,0.00691147241741,2.00017404556,-0.0458082800481,-0.0234022780433,-0.708502992539,-0.703830550931
1489621330621770693,65,1489621330621691263,fcu,0.221952468157,-0.0304074380547,1.99993097782,-0.0597658056046,-0.0288849191253,-0.708208413385,-0.70287591589
1489621330855755285,66,1489621330855637764,fcu,0.404549986124,-0.0844495147467,2.00012207031,-0.0665843830397,-0.0300975557252,-0.708309946863,-0.702109447487
1489621331088204004,67,1489621331088098630,fcu,0.629141151905,-0.153486818075,2.00047826767,-0.0667656455998,-0.0286462246329,-0.708708990222,-0.701750176031
