%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1489621327292113848,52,1489621327291996965,fcu,-0.0394329465926,0.0524815842509,1.99067687988,-0.00399091353178,0.000108112880234,-0.707762275487,-0.706439397485
1489621327524310843,53,1489621327524224411,fcu,-0.0389565266669,0.0525067038834,1.99075186253,-0.00425778804059,-0.000108639945836,-0.70776560491,-0.706434503649
1489621327789026935,54,1489621327788920036,fcu,-0.0374138168991,0.0515611991286,1.99076318741,-0.00403303190976,-0.000209061503483,-0.707765150799,-0.706436254917
1489621328023743461,55,1489621328023644568,fcu,-0.0361079610884,0.0500483363867,1.99066364765,-0.00350811794508,-7.42269803309e-05,-0.707766686416,-0.70643754515
1489621328257991794,56,1489621328257885105,fcu,-0.0348405987024,0.0480814240873,1.99041891098,-0.00333356194717,-6.00536502359e-05,-0.70776390344,-0.706441179961
1489621328492886756,57,1489621328492804981,fcu,-0.0332480594516,0.0466854311526,1.99008345604,-0.00343140244938,-0.000136184113592,-0.707762326107,-0.706442281206
1489621328725004288,58,1489621328724919130,fcu,-0.0336599983275,0.0472851917148,1.99015951157,-0.00359386513999,-0.00010567359992,-0.707763006561,-0.70644079689
1489621328991665278,59,1489621328991547146,fcu,-0.0335844531655,0.0471321307123,1.99033343792,-0.00367967920926,4.042616551e-05,-0.70776419099,-0.706439175215
1489621329222898873,60,1489621329222794401,fcu,-0.0330781675875,0.046805113554,1.9906103611,-0.00379506446119,4.26660271651e-05,-0.707761590737,-0.706441169768
1489621329456266288,61,1489621329456180750,fcu,-0.0319139175117,0.0469320528209,1.99081993103,-0.00373038113987,1.70908557982e-05,-0.707767096854,-0.706435998924
1489621329690605389,62,1489621329690484029,fcu,-0.0284744203091,0.0479883514345,1.99088275433,-0.00352405791716,-0.00131874642385,-0.707764831443,-0.706438097285
1489621329958779000,63,1489621329958674318,fcu,-0.019413407892,0.0583657026291,1.99119520187,-0.00334113069643,-0.0104503869848,-0.707732530416,-0.70639528003
1489621330191378601,64,1489621330191275843,fcu,0.00166766962502,0.0823090821505,1.99060285091,-0.00115883918226,-0.0205379532375,-0.707586426565,-0.706327330995
1489621330423496725,65,1489621330423409167,fcu,0.0362632907927,0.127521559596,1.99010288715,0.00181091389228,-0.0288099150191,-0.707315529637,-0.706308325677
1489621330656188614,66,1489621330656107069,fcu,0.0847406312823,0.195631429553,1.99049317837,0.00382216509595,-0.0325971585303,-0.707024140596,-0.706427406691
1489621330891757798,67,1489621330891625084,fcu,0.146919026971,0.284691989422,1.9908438921,0.00325879237894,-0.0349750319745,-0.706781188865,-0.706559607165
1489621331158002187,68,1489621331157898738,fcu,0.222129955888,0.39216157794,1.99070668221,0.000338658702748,-0.0369748342114,-0.706649358548,-0.706597078262
1489621331390838613,69,1489621331390739838,fcu,0.316061645746,0.51300829649,1.99041736126,-0.0043916467977,-0.0409672883179,-0.70649103157,-0.706521632392
1489621331623168539,70,1489621331623060788,fcu,0.427126765251,0.643872857094,1.99044287205,-0.00522993682645,-0.0401311685421,-0.706591562644,-0.706463375323
1489621331857885345,71,1489621331857770181,fcu,0.553620278835,0.781327903271,1.99067008495,-0.00728125856748,-0.0379318564164,-0.706702316796,-0.706455938455
1489621332092520232,72,1489621332092442633,fcu,0.691045820713,0.92095965147,1.99117708206,-0.00924319661967,-0.0360681203285,-0.706813394435,-0.706419478398
1489621332358767578,73,1489621332358628087,fcu,0.837682783604,1.05670273304,1.99138438702,-0.0155837510541,-0.0300135727367,-0.70692241694,-0.706482150222
1489621332590462248,74,1489621332590367200,fcu,0.991998016834,1.17521882057,1.99176979065,-0.0221691431849,-0.0216356828147,-0.707182808588,-0.70635182562
1489621332822064696,75,1489621332821956931,fcu,1.14914107323,1.27292299271,1.99190664291,-0.0231043812634,-0.0148976557252,-0.707590505162,-0.706087759719
